Company,Sector,PE,3Y High,3Y Low,% Assets
1. Aditya Birla Sun Life Arbitrage Fund,,,,,
Reliance Industries,Energy,21.03,8.85,0,8.85
HDFC,Financial,34.78,8.44,0,7.61
Tata Consultancy Services,Technology,24.03,3.22,0,3.22
Sun Pharmaceutical Inds.,Healthcare,31.92,3.02,0.01,3.02
State Bank of India,Financial,30.54,4.15,0,2.89
ITC,FMCG,24.06,3.91,0.02,2.56
Aurobindo Pharma,Healthcare,10.96,4.89,0.14,2.15
Infosys,Technology,17.88,2.33,0,2.13
ICICI Bank,Financial,54.6,2.17,0,1.79
JSW Steel,Metals,8.54,5.16,0.35,1.72
Axis Bank,Financial,45.35,2.33,0,1.62
Bharti Airtel,Communication,0,1.89,0,1.59
HDFC Bank,Financial,29.04,7.7,0,1.52
United Spirits,FMCG,58.21,1.4,0.05,1.29
BPCL,Energy,19.29,1.24,0,1.24
Indusind Bank,Financial,22.19,1.81,0,1.18
HPCL,Energy,9.19,1.44,0,1.11
Maruti Suzuki India,Automobile,32.29,3.71,0.06,1.08
Titan Company,Cons Durable,83.8,1.18,0,1.07
Adani Power,Engineering,0,1.39,0,0.99
Bajaj Finserv,Financial,34.38,0.97,0,0.97
HCL Technologies,Technology,14.98,0.97,0,0.97
Zee Entertainment,Services,12.92,0.92,0,0.92
Cipla,Healthcare,23.59,1.37,0,0.88
UPL,Chemicals,40.91,0.99,0.27,0.79
2. Aditya Birla Sun Life Asset Allocator Multi-Manager FoF Scheme,,,,,
Aditya Birla SL Corporate Bond Direct-G,-,-,-,-,18.61
Aditya Birla Sun Life Equity Fund Direct-Growth,-,-,-,-,15.67
Aditya Birla SL Focused Equity Direct-G,-,-,-,-,13.69
Aditya Birla SL Credit Risk Direct-G,-,-,-,-,11.17
Aditya Birla SL Small Cap Direct-G,-,-,-,-,10.91
Aditya Birla SL India GenNext Direct-G,-,-,-,-,9.84
Aditya Birla SL Medium Term Direct Plan -Growth,-,-,-,-,7.45
Aditya Birla SL Pharma & Healthcare Fund Direct-G,-,-,-,-,6.52
3. Aditya Birla Sun Life Bal Bhavishya Yojna - Wealth Plan - Regular Plan,,,,,
Honeywell Automation,Engineering,67.09,9.18,6.49,9.18
Reliance Industries,Energy,21.03,8.71,7.53,8.71
HDFC,Financial,34.78,7.33,5.01,7.33
Gillette,FMCG,100.04,7.27,5.96,6.63
Pfizer,Healthcare,33.36,5.88,4.69,5.88
Kotak Mahindra Bank,Financial,37.49,4.62,3.46,4.62
Bayer CropScience,Healthcare,99.55,5.89,4.12,4.48
Glaxosmithkline Pharma,Healthcare,29.63,4.46,3.62,4.46
Larsen & Toubro,Construction,21.91,4.37,3.37,4.35
Thomas Cook (India),Services,116.65,4.58,2.65,2.65
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,56.84,2.69,2.15,2.55
Shopper's Stop,Services,48.34,3.03,2.25,2.52
IDFC First Bank,Financial,0,2.99,2.44,2.45
Kansai Nerolac Paints,Chemicals,61.13,2.43,1.37,2.43
