Company,Sector,PE,3Y High,3Y Low,% Assets
Apollo Hospitals,Healthcare,65.45,3.30,0.10,2.89
Aditya Birla Fashion and Retail,Services,47.13,3.18,0.00,2.64
Whirlpool,Cons Durable,62.92,2.63,1.22,2.63
Federal Bank,Financial,10.94,2.72,0.00,2.59
Indraprastha Gas,Energy,30.85,3.35,1.85,2.54
Schaeffler India,Engineering,32.24,3.90,2.17,2.52
Sundaram-Clayton,Automobile,37.82,4.25,2.25,2.50
Varun Beverages,FMCG,43.18,2.40,0.61,2.40
City Union Bank,Financial,21.80,2.29,0.00,2.29
Cholamandalam Invest. & Fin.,Financial,18.57,2.64,1.79,2.19
Cummins India,Engineering,23.55,2.61,0.00,2.12
Tata Global Beverages,FMCG,42.19,2.23,0.00,2.10
Kansai Nerolac Paints,Chemicals,60.53,2.07,0.00,2.07
EIH,Services,104.63,2.10,0.00,2.03
Wabco India,Automobile,44.18,2.23,1.43,2.02
Timken India,Engineering,35.15,2.08,1.27,2.00
RBL Bank,Financial,14.06,2.38,0.00,1.92
V-Guard Industries,Cons Durable,56.37,2.04,0.00,1.87
Grindwell Norton,Metals,40.49,1.86,0.68,1.86
Thermax,Engineering,39.94,1.87,0.95,1.84
P&G Hygiene & Health Care,FMCG,92.69,1.82,0.00,1.82
Blue Star,Cons Durable,47.17,1.77,0.00,1.77
728. Sundaram Mid Cap Fund - Regular Plan
The Ramco Cements,Construction,30.90,4.72,2.40,4.58
Trent,Services,126.99,4.04,1.12,3.93
Honeywell Automation,Engineering,66.64,3.59,1.85,3.59
Apollo Hospitals,Healthcare,65.45,3.30,0.10,2.89
Aditya Birla Fashion and Retail,Services,47.13,3.18,0.00,2.64
Whirlpool,Cons Durable,62.92,2.63,1.22,2.63
Federal Bank,Financial,10.94,2.72,0.00,2.59
Indraprastha Gas,Energy,30.85,3.35,1.85,2.54
Schaeffler India,Engineering,32.24,3.90,2.17,2.52
Sundaram-Clayton,Automobile,37.82,4.25,2.25,2.50
Varun Beverages,FMCG,43.18,2.40,0.61,2.40
City Union Bank,Financial,21.80,2.29,0.00,2.29
Cholamandalam Invest. & Fin.,Financial,18.57,2.64,1.79,2.19
Cummins India,Engineering,23.55,2.61,0.00,2.12
Tata Global Beverages,FMCG,42.19,2.23,0.00,2.10
Kansai Nerolac Paints,Chemicals,60.53,2.07,0.00,2.07
EIH,Services,104.63,2.10,0.00,2.03
Wabco India,Automobile,44.18,2.23,1.43,2.02
Timken India,Engineering,35.15,2.08,1.27,2.00
RBL Bank,Financial,14.06,2.38,0.00,1.92
V-Guard Industries,Cons Durable,56.37,2.04,0.00,1.87
Grindwell Norton,Metals,40.49,1.86,0.68,1.86
Thermax,Engineering,39.94,1.87,0.95,1.84
P&G Hygiene & Health Care,FMCG,92.69,1.82,0.00,1.82
Blue Star,Cons Durable,47.17,1.77,0.00,1.77
729. Sundaram Multi Cap Fund - Series I - Regular Plan
ICICI Bank,Financial,54.60,6.06,0.00,5.68
HDFC Bank,Financial,29.04,5.11,0.00,5.11
Reliance Industries,Energy,21.03,5.06,0.00,4.62
Trent,Services,126.99,3.96,0.00,3.82
Crompton Greaves Consumer Electricals,Cons Durable,39.07,3.32,0.00,3.32
INOX Leisure,Services,29.50,3.29,0.00,3.29
Jubilant FoodWorks,Services,63.52,3.10,0.00,3.10
Larsen & Toubro,Construction,21.91,3.08,0.00,3.08
SBI Life Insurance Company,Financial,80.59,3.20,0.00,2.92
ICICI Lombard General Insurance,Financial,54.96,2.88,0.00,2.88
Axis Bank,Financial,45.35,6.15,0.00,2.74
Varun Beverages,FMCG,43.18,3.03,0.00,2.72
HDFC Asset Management Company,Financial,64.57,2.70,0.00,2.70
Whirlpool,Cons Durable,62.92,2.58,0.00,2.58
Hero Motocorp,Automobile,14.51,2.97,0.00,2.53
Kansai Nerolac Paints,Chemicals,60.53,2.48,0.00,2.48
ITC,FMCG,24.06,5.55,0.00,2.43
United Spirits,FMCG,58.14,2.41,0.00,2.39
HDFC Life Insurance,Financial,92.87,2.34,0.00,2.34
Bajaj Finance,Financial,47.42,2.28,0.00,2.28
Grindwell Norton,Metals,40.49,2.30,0.00,2.25
TVS Motor Co.,Automobile,31.00,2.47,0.00,2.15
Navin Fluorine International,Chemicals,25.37,2.21,0.00,2.08
Ultratech Cement,Construction,38.20,2.04,0.00,2.04
MRF,Automobile,24.70,2.98,0.00,2.02
730. Sundaram Multi Cap Fund - Series II - Regular Plan
ICICI Bank,Financial,54.60,6.02,0.00,5.65
HDFC Bank,Financial,29.04,5.10,0.00,5.10
Reliance Industries,Energy,21.03,5.09,0.00,4.70
Trent,Services,126.99,3.95,0.00,3.81
INOX Leisure,Services,29.50,3.30,0.00,3.30
Crompton Greaves Consumer Electricals,Cons Durable,39.07,3.29,0.00,3.29
Jubilant FoodWorks,Services,63.52,3.09,0.00,3.09
Larsen & Toubro,Construction,21.91,3.08,0.00,3.08
SBI Life Insurance Company,Financial,80.59,3.18,0.00,2.93
HDFC Asset Management Company,Financial,64.57,2.81,0.00,2.81
Varun Beverages,FMCG,43.18,3.03,0.00,2.72
Axis Bank,Financial,45.35,6.12,0.00,2.72
ICICI Lombard General Insurance,Financial,54.96,2.63,0.00,2.63
Whirlpool,Cons Durable,62.92,2.58,0.00,2.58
Hero Motocorp,Automobile,14.51,2.74,2.11,2.53
Kansai Nerolac Paints,Chemicals,60.53,2.49,0.00,2.49
ITC,FMCG,24.06,5.11,1.76,2.42
HDFC Life Insurance,Financial,92.87,2.42,0.00,2.42
United Spirits,FMCG,58.14,2.40,0.00,2.39
Bajaj Finance,Financial,47.42,2.32,0.00,2.32
Grindwell Norton,Metals,40.49,2.34,0.00,2.30
TVS Motor Co.,Automobile,31.00,2.46,0.00,2.12
Navin Fluorine International,Chemicals,25.37,2.17,0.00,2.04
Ultratech Cement,Construction,38.20,2.03,0.00,2.03
MRF,Automobile,24.70,2.02,0.00,2.02
731. Sundaram Rural and Consumption Fund - Regular Plan
Hindustan Unilever,FMCG,70.14,5.50,2.00,5.37
City Union Bank,Financial,21.80,3.20,0.00,3.20
Asian Paints,Chemicals,65.48,3.16,1.45,3.16
Tata Global Beverages,FMCG,42.19,3.26,0.00,3.12
Mahindra & Mahindra,Automobile,12.49,5.44,2.88,3.10
Crompton Greaves Consumer Electricals,Cons Durable,39.07,2.95,0.00,2.95
Sundaram Money Direct,-,-,-,-,2.83
Bata India,FMCG,65.48,2.76,0.00,2.76
ITC,FMCG,24.06,5.65,2.76,2.76
Varun Beverages,FMCG,43.18,5.40,0.89,2.69
SBI Life Insurance Company,Financial,80.59,2.66,0.00,2.59
P&G Hygiene & Health Care,FMCG,92.69,2.54,1.31,2.54
The Ramco Cements,Construction,30.90,2.48,0.00,2.47
ICICI Bank,Financial,54.60,2.35,0.00,2.35
CreditAccess Grameen,Financial,26.39,2.29,0.00,2.29
UPL,Chemicals,40.90,3.83,1.58,2.28
HDFC Bank,Financial,29.04,2.26,0.00,2.26
TTK Prestige,Cons Durable,44.27,2.41,0.00,2.18
Ujjivan Financial Services,Financial,109.26,2.32,0.00,2.13
ACC,Construction,15.59,2.34,0.00,2.12
Tata Chemicals,Chemicals,13.07,2.44,0.85,2.05
ICICI Lombard General Insurance,Financial,54.96,2.22,0.00,2.05
Nestle India,FMCG,85.53,2.31,1.18,2.03
V-Guard Industries,Cons Durable,56.37,3.27,1.38,2.01
State Bank of India,Financial,30.54,3.75,0.00,1.83
732. Sundaram Select Focus Fund - Institutional Plan
HDFC Bank,Financial,29.04,9.99,8.03,9.50
Reliance Industries,Energy,21.03,8.74,3.25,8.74
ICICI Bank,Financial,54.60,9.73,5.21,8.45
Larsen & Toubro,Construction,21.91,7.99,0.00,7.99
Axis Bank,Financial,45.35,6.95,0.00,5.88
HDFC,Financial,34.78,7.84,2.95,5.76
Kotak Mahindra Bank,Financial,37.46,6.76,2.63,5.38
Hindustan Unilever,FMCG,70.14,4.47,0.00,4.47
Infosys,Technology,17.88,9.86,1.65,4.11
Bharti Airtel,Communication,0.00,3.74,0.00,3.06
Torrent Pharmaceuticals,Healthcare,58.16,4.94,0.00,3.01
ITC,FMCG,24.06,9.34,2.95,2.95
SBI Life Insurance Company,Financial,80.59,3.11,0.00,2.72
Sundaram Money Direct,-,-,-,-,2.49
Varun Beverages,FMCG,43.18,2.53,0.00,2.36
Bajaj Finance,Financial,47.42,2.22,0.00,2.11
NTPC,Energy,10.18,4.14,1.69,2.10
Trent,Services,126.99,1.87,0.00,1.86
ICICI Lombard General Insurance,Financial,54.96,2.45,0.00,1.82
Titan Company,Cons Durable,83.39,2.03,0.00,1.80
Aarti Industries,Chemicals,28.31,2.07,0.00,1.79
Crompton Greaves Consumer Electricals,Cons Durable,39.07,2.46,0.00,1.54
Voltas,Cons Durable,47.85,2.66,0.00,1.37
State Bank of India,Financial,30.54,4.43,0.00,0.97
Indusind Bank,Financial,22.19,6.34,0.96,0.96
733. Sundaram Select Focus Fund - Regular Plan
HDFC Bank,Financial,29.04,9.99,8.03,9.50
Reliance Industries,Energy,21.03,8.74,3.25,8.74
ICICI Bank,Financial,54.60,9.73,5.21,8.45
Larsen & Toubro,Construction,21.91,7.99,0.00,7.99
Axis Bank,Financial,45.35,6.95,0.00,5.88
